Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
SIDEPIECE,SIDEPIECE,5czbzNZZfWpyFgZyfT3Mkk,exact,60,98469
NITTI,NITTI,21AUdblPrTRzkvJn8FGrlk,exact,46,91578
Party Favor,Party Favor,7yPPzu5UdAK7yagQqjEZQm,exact,50,179430
Simula,Simula,2KCmoJZgpL6hNFdT4l9PTl,exact,49,36509
Skepta,Skepta,2p1fiYHYiXz9qi0JJyxBzN,exact,74,1447047
Skream,Skream,2jbP92oFLWqPqogflK1wlW,exact,45,136603
Partiboi69,Partiboi69,0CutULGVZ24wOr1HHYoEOL,exact,45,76220
Slugg,Slugg,5Q2x75NUXnoDOXCKItVxZ0,exact,22,3122
SoothSlayer,Soothslayer,4oPb2z3ZbgZv6YbQ5nQX3G,exact,5,460
SOSA,SOSA,3JlN0MeWVJq0vjvsvWCRZ5,exact,54,57387
Popof,Popof,4f2K0RSYyxP4TUyZu1azYB,exact,37,86536
Space 92,Space 92,6TVdVlY6irsNPkMHT2HkfD,exact,53,95344
Steller,Steller,7fNu9x4iV166BQmQQKOmXl,exact,33,11602
Sub Zero Project,Sub Zero Project,4f0OXMMSxr0r8Ztx6CdpAl,exact,57,215000
Sullivan King,Sullivan King,1CXuuw8HJhyN80HlNzvL1e,exact,55,253625
Tape B,Tape B,59tlsKpLWoLTxjNNS2wdPi,exact,52,70474
No Redemption,No Redemption,6MW00shfeW4I1cF2l2i5Vs,exact,,39
Tchami,Tchami,1KpCi9BOfviCVhmpI4G2sY,exact,54,417742
Malaa,Malaa,7w1eTNePApzDk8XtgykCPS,exact,50,253189
TDJ,TDJ,540RtWfpQokIlaRgMDjU9v,exact,37,17544
The Martinez Brothers,The Martinez Brothers,7B1LLuCQk13H4Mb6CFBftU,exact,50,231995
Loco Dice,Loco Dice,4rbw4Z9Hjn6n9x5oYzZe7P,exact,45,183582
TOKiMONSTA,TOKiMONSTA,3VwKSHAfgzV1DOHV0aANCI,exact,50,314974
Torren Foot,Torren Foot,7lQOxDl96wmNoqGoW4kgv4,exact,51,25173
Trance Wax,Trance Wax,28Rn5KfDspTUHLpPfPF8EE,exact,35,15367
Trivecta,Trivecta,4AT7XlLBevgZIiKvZQ83ye,exact,51,78468
Truth,Truth,0ZDCCJSvjcdJZH9hOl1uYc,exact,37,49988
TWENTY SIX,TWENTY SIX,6C2mFGFh8dz1vKp9l5Ce8P,exact,54,32831
Victor Ruiz,Victor Ruiz,0xgdNNa5mIbnJKp8AG8S4z,exact,46,141187
Villager,Villager,5NhirHwHO8nu6MrwjBizh7,exact,34,12699
Vini Vici,Vini Vici,29zsVzEH33dD5QqxeL8dvy,exact,63,561955
Vintage Culture,Vintage Culture,28uJnu5EsrGml2tBd7y8ts,exact,72,1914144
VNSSA,VNSSA,6fjbZ7zQBYEy3kvB5JL5PM,exact,36,19844
SVDDEN DEATH,SVDDEN DEATH,2u01kCKA5wDvvztuH8lyT0,exact,51,243019
Wakyin,Wakyin,2CnJJITnV40TB5UtCRhwIZ,exact,58,33112
Walker & Royce,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,c,,
X Club.,X CLUB.,4CYPaFp9yDrNduNptv0DPQ,exact,45,25379
XANDRA,XANDRA,0R7QDPXqFaQ9F0FdTZUeca,exact,43,3867
YDG,YDG,286Ranmy5NZOVyIwNwAUE4,exact,52,28138
Yellow Claw,Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,exact,62,1040403
Yoji Biomehanika,Yoji Biomehanika,59J5BYhI2gAZ8TFJx5VCPv,exact,20,8898
Yosuf,Yosuf,0pceb68in41LfgvQbkvCzg,exact,51,69521
